,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state,r8_beer_name,r8_beer_style,r8_beer_parent_style,r8_beer_overall_score,r8_beer_avg_rating
565,4.3%,"Farmers Branch, TX",Grapevine Craft Brewery,21.0,2129.0,Monarch Classic American Wheat,12 oz.,American Pale Wheat Ale,21.0,4.3,TX,N/A,N/A,N/A,,
566,4.9%,"Farmers Branch, TX",Grapevine Craft Brewery,21.0,2127.0,Sir William's English Brown Ale,12 oz.,English Brown Ale,21.0,4.9,TX,N/A,N/A,N/A,,
567,5.5%,"Farmers Branch, TX",Grapevine Craft Brewery,35.0,2126.0,Lakefire Rye Pale Ale,12 oz.,American Pale Ale (APA),35.0,5.5,TX,Orpheus Atalanta Tart Plum Saison,Sour/Wild Ale,Lambic and Sour Ale,90.40708437717223,3.5485029220581055
568,6.0%,"Houston, TX",Buffalo Bayou Brewing Company,40.0,2125.0,1836,12 oz.,American Blonde Ale,40.0,6.0,TX,Forgotten Boardwalk What The Butler Saw,Witbier,Wheat Beer,51.17683238591803,3.217679977416992
569,6.0%,"Houston, TX",Buffalo Bayou Brewing Company,20.0,2124.0,Summer's Wit,12 oz.,Witbier,20.0,6.0,TX,N/A,N/A,N/A,,
570,9.0%,"Houston, TX",Buffalo Bayou Brewing Company,118.0,2123.0,More Cowbell,16 oz.,American Double / Imperial IPA,118.0,9.0,TX,Call to Arms Freedom Fries Saison,Saison,Belgian-Style Ales,95.13880974358896,3.6296770572662354
571,4.7%,"Stevens Point, WI",Stevens Point Brewery,9.0,2122.0,Point Special (2013),12 oz.,American Adjunct Lager,9.0,4.7,WI,Laughing Dog Cream Ale,Cream Ale,Anglo-American Ales,50.14712357968784,3.210361957550049
572,4.7%,"Stevens Point, WI",Stevens Point Brewery,9.0,2121.0,Point Special (2012),12 oz.,American Adjunct Lager,9.0,4.7,WI,N/A,N/A,N/A,,
573,8.0%,"Fort Worth, TX",Martin House Brewing Company,,2120.0,The Imperial Texan,16 oz.,American Double / Imperial IPA,93.5394736842,8.0,TX,Catawba King Coconut Porter,Porter,Stouts and Porters,69.12583301742116,3.3263750076293945
574,5.5%,"Richmond, TX",Texian Brewing Co.,35.0,2119.0,First Stand,12 oz.,Saison / Farmhouse Ale,35.0,5.5,TX,Ballast Point Even Keel,Session IPA,Anglo-American Ales,90.92254439120185,3.5569260120391846
575,6.3%,"Richmond, TX",Texian Brewing Co.,23.0,2118.0,Battle LIne,12 oz.,American Brown Ale,23.0,6.3,TX,N/A,N/A,N/A,,
576,5.6%,"Richmond, TX",Texian Brewing Co.,12.0,2117.0,Broken Bridge,12 oz.,Dunkelweizen,12.0,5.6,TX,Anchor California Lager,Pale Lager,Lagers,49.364951040815164,3.202260971069336
577,7.1%,"Richmond, TX",Texian Brewing Co.,69.0,2116.0,Brutus,12 oz.,English India Pale Ale (IPA),69.0,7.1,TX,N/A,N/A,N/A,,
578,4.7%,"Stevens Point, WI",Stevens Point Brewery,9.0,2115.0,Point Special Lager,16 oz.,American Adjunct Lager,9.0,4.7,WI,N/A,N/A,N/A,,
579,6.5%,"Atlanta, GA",Orpheus Brewing,,2113.0,Lyric Ale,12 oz.,Saison / Farmhouse Ale,28.3913043478,6.5,GA,Uinta Yard Sale Winter Lager,Amber Lager/Vienna,Lagers,28.37594947745107,2.9004480838775635
580,5.3%,"Atlanta, GA",Orpheus Brewing,,2112.0,Atalanta,12 oz.,Saison / Farmhouse Ale,28.3913043478,5.3,GA,N/A,N/A,N/A,,
581,5.0%,"Cherry Hill, NJ",Forgotten Boardwalk,18.0,2111.0,What the Butler Saw,12 oz.,Witbier,18.0,5.0,NJ,N/A,N/A,N/A,,
582,6.9%,"Cherry Hill, NJ",Forgotten Boardwalk,65.0,2110.0,1916 Shore Shiver,12 oz.,American IPA,65.0,6.9,NJ,N/A,N/A,N/A,,
583,5.5%,"Chicago, IL",Spiteful Brewing Company,,2109.0,Freedom Fries,16 oz.,American Stout,43.0,5.5,IL,N/A,N/A,N/A,,
584,5.0%,"Ponderay, ID",Laughing Dog Brewing Company,12.0,2108.0,Laughing Dog Cream Ale,12 oz. ,Cream Ale,12.0,5.0,ID,Big Storm Wavemaker Amber Ale,Amber Ale,Anglo-American Ales,47.04053439905319,3.1598289012908936
585,6.0%,"Bozeman, MT",Bozeman Brewing Company,52.0,2107.0,Plum St. Porter,12 oz.,American Porter,52.0,6.0,MT,Carton Epitome,Black IPA,Stouts and Porters,96.92900742377506,3.729357957839966
586,5.4%,"Morganton, NC",Catawba Valley Brewing Company,,2106.0,King Coconut,12 oz.,American Porter,32.2368421053,5.4,NC,Midnight Sun Pleasure Town IPA,India Pale Ale (IPA),Anglo-American Ales,79.80014457959733,3.4165499210357666
587,3.8%,"San Diego, CA",Ballast Point Brewing Company,40.0,2105.0,Even Keel,12 oz.,American IPA,40.0,3.8,CA,N/A,N/A,N/A,,
588,8.1%,"Broomfield, CO",Big Choice Brewing,17.0,2104.0,Aprè Shred,16 oz.,American Strong Ale,17.0,8.1,CO,Valle delle Mele - Sidro di Mela (5%) Zizzi,Cider,Ciders,,2.938538074493408
589,4.9%,"San Francisco, CA",Anchor Brewing Company,,2103.0,California Lager,12 oz.,American Amber / Red Lager,23.25,4.9,CA,N/A,N/A,N/A,,
590,5.6%,"San Francisco, CA",Anchor Brewing Company,,2102.0,Brotherhood Steam,12 oz.,California Common / Steam Beer,41.0,5.6,CA,N/A,American Pale Ale,Anglo-American Ales,93.0023998082573,3.599776029586792
591,5.1%,"Grand Rapids, MI",Brewery Vivant,,2101.0,Smoky Wheat,16 oz.,Rauchbier,0.0,5.1,MI,N/A,India Pale Ale (IPA),Anglo-American Ales,97.42781188506802,3.752484083175659
592,4.0%,"Salt Lake City, UT",Uinta Brewing Company,22.0,2100.0,Yard Sale Winter Lager,12 oz.,American Amber / Red Lager,22.0,4.0,UT,N/A,N/A,N/A,,
