,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state,r8_beer_name,r8_beer_style,r8_beer_parent_style,r8_beer_overall_score,r8_beer_avg_rating
1389,5.9%,"Traverse City, MI",The Right Brain Brewery,,1277.0,CEO Stout,16 oz.,American Stout,43.0,5.9,MI,N/A,N/A,N/A,,
1390,4.7%,"Traverse City, MI",The Right Brain Brewery,,1276.0,Will Power Pale Ale,16 oz.,American Pale Ale (APA),44.9411764706,4.7,MI,N/A,N/A,N/A,,
1391,4.8%,"Davenport, IA",Great River Brewery,,1275.0,Dirty Blonde Chocolate Ale,12 oz.,American Blonde Ale,20.9032258065,4.8,IA,N/A,N/A,N/A,,
1392,4.6%,"Kona, HI",Kona Brewing Company,18.0,1274.0,Longboard Island Lager,24 oz.,American Amber / Red Lager,18.0,4.6,HI,N/A,American Pale Ale,Anglo-American Ales,96.42179828924125,3.7043819427490234
1393,4.8%,"Royal Oak, MI",MillKing It Productions,,1273.0,SNO White Ale,16 oz.,Witbier,16.44,4.8,MI,N/A,N/A,N/A,,
1394,5.1%,"Milwaukee, WI",Milwaukee Brewing Company,24.0,1272.0,Louie's Demise Amber Ale,16 oz.,American Amber / Red Ale,24.0,5.1,WI,Howard Action Man Lager,Amber Lager/Vienna,Lagers,43.26499605622158,3.095684051513672
1395,5.0%,"Lahaina, HI",Maui Brewing Company,,1271.0,Lemongrass Saison,12 oz.,Saison / Farmhouse Ale,28.3913043478,5.0,HI,N/A,N/A,N/A,,
1396,5.6%,"Richmond, VA",Hardywood Park Craft Brewery,55.0,1270.0,Capital Trail Pale Ale,12 oz.,American Pale Ale (APA),55.0,5.6,VA,N/A,N/A,N/A,,
1397,5.6%,"Aurora, IN",Great Crescent Brewery,33.0,1269.0,Great Crescent Coconut Porter,16 oz.,American Porter,33.0,5.6,IN,N/A,American Pale Ale,Anglo-American Ales,59.6217982645998,3.2623610496520996
1398,5.2%,"Fort Collins, CO",Pateros Creek Brewing Company,23.0,1268.0,Rustic Red,16 oz.,Irish Red Ale,23.0,5.2,CO,N/A,N/A,N/A,,
1399,5.0%,"Grand Rapids, MI",Brewery Vivant,,1267.0,Black Rabbit,16 oz.,American Black Ale,68.9,5.0,MI,Schilling Hard Cider,Cider,Ciders,44.95840938683088,3.061044931411743
1400,9.0%,"Grand Rapids, MI",Brewery Vivant,,1266.0,Zaison,16 oz.,Saison / Farmhouse Ale,28.3913043478,9.0,MI,N/A,N/A,N/A,,
1401,8.5%,"Portland, OR",Natian Brewery,86.0,1265.0,Old Grogham Imperial India Pale Ale,16 oz.,American Double / Imperial IPA,86.0,8.5,OR,Cigar City Tropical Heatwave Wheat Ale,Wheat Ale,Wheat Beer,72.83144991690943,3.358236074447632
1402,5.5%,"O'Fallon, MO",O'Fallon Brewery,,1264.0,O'Fallon Pumpkin Beer,12 oz.,Pumpkin Ale,24.8181818182,5.5,MO,Big Nose Wheat,Wheat Ale,Wheat Beer,,3.1041760444641113
1403,5.3%,"Washington, DC",DC Brau Brewing Company,11.0,1263.0,El Hefe Speaks,12 oz.,Hefeweizen,11.0,5.3,DC,Saugatuck Cotton Mouth Quencher,Saison,Belgian-Style Ales,,2.906928062438965
1404,4.7%,"Albuquerque, NM",Marble Brewery,,1262.0,Marble Pilsner,12 oz.,German Pilsener,34.1764705882,4.7,NM,Swamp Head Stump Knocker Pale Ale,American Pale Ale,Anglo-American Ales,77.47534038350993,3.3948919773101807
1405,6.0%,"Duluth, MN",Bent Paddle Brewing Company,34.0,1261.0,Bent Paddle Black Ale,12 oz.,American Black Ale,34.0,6.0,MN,Midnight Oil Undertaker Rye IPA,India Pale Ale (IPA),Anglo-American Ales,,0
1406,7.0%,"Asheville, NC",French Broad Brewery,24.0,1260.0,Wee-Heavy-Er Scotch Ale,12 oz.,Scotch Ale / Wee Heavy,24.0,7.0,NC,Swamp Head Wild Night,Cream Ale,Anglo-American Ales,38.62579477607653,3.0393259525299072
1407,5.2%,"Asheville, NC",French Broad Brewery,42.0,1259.0,13 Rebels ESB,12 oz.,Extra Special / Strong Bitter (ESB),42.0,5.2,NC,N/A,N/A,N/A,,
1408,6.1%,"O'Fallon, MO",O'Fallon Brewery,66.0,1258.0,5 Day IPA,12 oz.,American IPA,66.0,6.1,MO,N/A,N/A,N/A,,
1409,5.3%,"Vadnais Heights, MN",Big Wood Brewery,43.0,1257.0,Jack Pine Savage,16 oz.,American Pale Ale (APA),43.0,5.3,MN,N/A,N/A,N/A,,
1410,9.9%,"Vadnais Heights, MN",Big Wood Brewery,85.0,1256.0,Forest Fire Imperial Smoked Rye,16 oz.,Rye Beer,85.0,9.9,MN,Martin House The Imperial Texan,American Strong Ale,Anglo-American Ales,89.02480778358996,3.5262060165405273
1411,9.8%,"Vadnais Heights, MN",Big Wood Brewery,76.0,1255.0,Bad Axe Imperial IPA,16 oz.,American Double / Imperial IPA,76.0,9.8,MN,N/A,N/A,N/A,,
1412,6.0%,"Stevens Point, WI",James Page Brewing Company,,1254.0,JP's Ould Sod Irish Red IPA,12 oz.,American IPA,67.634551495,6.0,WI,N/A,Saison,Belgian-Style Ales,48.780080867916325,3.086272954940796
1413,5.0%,"Duluth, MN",Bent Paddle Brewing Company,38.0,1253.0,Venture Pils,12 oz.,German Pilsener,38.0,5.0,MN,N/A,N/A,N/A,,
1414,6.5%,"Longmont, CO",Oskar Blues Brewery,65.0,1252.0,Dale's Pale Ale,12 oz.,American Pale Ale (APA),65.0,6.5,CO,N/A,N/A,N/A,,
1415,6.5%,"Lenoir, NC",Howard Brewing Company,,1251.0,Trail Maker Pale Ale,12 oz.,American Pale Ale (APA),44.9411764706,6.5,NC,N/A,N/A,N/A,,
1416,5.5%,"Lenoir, NC",Howard Brewing Company,,1250.0,Action Man Lager,12 oz.,Vienna Lager,24.3571428571,5.5,NC,N/A,N/A,N/A,,
1417,5.6%,"Erie, PA",Lavery Brewing Company,70.0,1249.0,Duluchan India Pale Ale,12 oz.,American IPA,70.0,5.6,PA,N/A,N/A,N/A,,
1418,5.0%,"Ashland, VA",Center of the Universe Brewing C...,40.0,1248.0,Main St. Virginia Ale,12 oz.,Altbier,40.0,5.0,VA,Point Nude Beach Summer Wheat,Wheat Ale,Wheat Beer,22.207084377172222,2.7945830821990967
1419,5.2%,"Ashland, VA",Center of the Universe Brewing C...,42.0,1247.0,Ray Ray’s Pale Ale,12 oz.,American Pale Ale (APA),42.0,5.2,VA,N/A,N/A,N/A,,
1420,4.9%,"Leominster, MA",Downeast Cider House,,1246.0,Cranberry Blend,12 oz.,Cider,0.0,4.9,MA,Founders All Day IPA,Session IPA,Anglo-American Ales,92.80330087317742,3.5969998836517334
1421,6.5%,"Seattle, WA",Schilling & Company,,1245.0,Schilling Hard Cider,12 oz.,Cider,0.0,6.5,WA,N/A,N/A,N/A,,
1422,4.8%,"Davenport, IA",Great River Brewery,20.0,1244.0,Dos Pistolas,12 oz.,Vienna Lager,20.0,4.8,IA,Anderson Valley Barney Flats Oatmeal Stout,Stout,Stouts and Porters,94.15947724964009,3.6288399696350098
1423,5.2%,"Tampa, FL",Cigar City Brewing Company,,1243.0,Tropical Heatwave,16 oz.,American Pale Wheat Ale,20.6885245902,5.2,FL,N/A,N/A,N/A,,
1424,7.3%,"Gainesville, FL",Swamp Head Brewery,50.0,1242.0,Big Nose,12 oz.,American IPA,50.0,7.3,FL,Blimp City All American Blonde Pale Ale,N/A,Anglo-American Ales,50.3,3.119999885559082
1425,5.0%,"Gainesville, FL",Swamp Head Brewery,10.0,1241.0,Cotton Mouth,12 oz.,Witbier,10.0,5.0,FL,Red Pig Mexican Ale,Amber Ale,Anglo-American Ales,18.731348393568467,2.754462957382202
1426,5.6%,"Gainesville, FL",Swamp Head Brewery,35.0,1240.0,Stump Knocker Pale Ale,12 oz.,American Pale Ale (APA),35.0,5.6,FL,Anderson Valley El Steinber Dark Lager,N/A,Lagers,47.04053439905319,3.1438539028167725
1427,5.0%,"Gainesville, FL",Swamp Head Brewery,38.0,1239.0,Midnight Oil,12 oz.,Oatmeal Stout,38.0,5.0,FL,N/A,N/A,N/A,,
1428,5.9%,"Gainesville, FL",Swamp Head Brewery,18.0,1238.0,Wild Night,12 oz.,Cream Ale,18.0,5.9,FL,N/A,N/A,N/A,,
1429,3.7%,"Half Moon Bay, CA",Mavericks Beer Company,34.0,1237.0,Pit Stop Chocolate Porter,12 oz.,American Porter,34.0,3.7,CA,N/A,Golden Ale/Blond Ale,Anglo-American Ales,40.55558824743519,3.0531890392303467
1430,3.7%,"Half Moon Bay, CA",Mavericks Beer Company,21.0,1236.0,Pace Setter Belgian Style Wit,12 oz.,Witbier,21.0,3.7,CA,N/A,N/A,N/A,,
1431,4.7%,"Houston, TX",Karbach Brewing Company,20.0,1235.0,Love Street Summer Seasonal (2014),12 oz.,Kölsch,20.0,4.7,TX,Deschutes Mirror Pond Pale Ale,American Pale Ale,Anglo-American Ales,83.09467104532396,3.449558973312378
1432,8.0%,"Fort Worth, TX",Martin House Brewing Company,,1234.0,The Imperial Texan,12 oz.,American Double / Imperial IPA,93.5394736842,8.0,TX,Baxter Summer Swelter Ale,Spice/Herb/Vegetable,"Traditional, Spice, Other",40.25758451603893,3.061326026916504
1433,5.0%,"Fort Worth, TX",Martin House Brewing Company,,1233.0,Day Break 4-Grain Breakfast Beer,16 oz.,Rye Beer,52.0,5.0,TX,N/A,N/A,N/A,,
1434,5.0%,"Fort Worth, TX",Martin House Brewing Company,,1232.0,River House Saison,12 oz.,Saison / Farmhouse Ale,28.3913043478,5.0,TX,Sunken City Dam Lager,Amber Lager/Vienna,Lagers,35.092334461590156,2.9733970165252686
1435,6.5%,"Fort Worth, TX",Martin House Brewing Company,,1231.0,There Will Be Stout,12 oz.,American Stout,43.0,6.5,TX,N/A,N/A,N/A,,
1436,8.0%,"San Diego, CA",TailGate Beer,95.0,1229.0,Dodgy Knight Imperial IPA,12 oz.,American Double / Imperial IPA,95.0,8.0,CA,N/A,N/A,N/A,,
1437,4.8%,"Fuquay-Varina, NC",Aviator Brewing Company,23.0,1228.0,Mad Beach,12 oz.,American Pale Wheat Ale,23.0,4.8,NC,N/A,German Hefeweizen,Wheat Beer,39.18254892713471,2.996234893798828
1438,6.3%,"Pacific, WA",Northwest Brewing Company,,1227.0,Hoppy Bitch IPA,16 oz.,American IPA,67.634551495,6.3,WA,N/A,N/A,N/A,,
1439,6.3%,"Pacific, WA",Northwest Brewing Company,42.0,1226.0,Three Skulls Ale Pale Ale,16 oz.,American Pale Ale (APA),42.0,6.3,WA,N/A,N/A,N/A,,
1440,5.2%,"Stevens Point, WI",Stevens Point Brewery,7.0,1225.0,Point Nude Beach Summer Wheat,16 oz.,American Pale Wheat Ale,7.0,5.2,WI,N/A,N/A,N/A,,
1441,6.5%,"Aurora, CO",Dad & Dude's Breweria,,1224.0,Dank IPA,16 oz.,American IPA,67.634551495,6.5,CO,N/A,N/A,N/A,,
1442,4.7%,"Grand Rapids, MI",Founders Brewing Company,42.0,1223.0,All Day IPA,12 oz.,American IPA,42.0,4.7,MI,N/A,N/A,N/A,,
1443,6.5%,"Kearney, NE",Thunderhead Brewing Company,,1222.0,Cropduster Mid-American IPA,12 oz.,American IPA,67.634551495,6.5,NE,N/A,N/A,N/A,,
1444,5.7%,"Boonville, CA",Anderson Valley Brewing Company,13.0,1221.0,Barney Flats Oatmeal Stout,12 oz.,Oatmeal Stout,13.0,5.7,CA,N/A,N/A,N/A,,
1445,4.6%,"Kona, HI",Kona Brewing Company,18.0,1220.0,Longboard Island Lager,16 oz.,American Amber / Red Lager,18.0,4.6,HI,N/A,N/A,N/A,,
1446,5.0%,"Edwards, CO",Centennial Beer Company,,1219.0,All American Blonde Ale,12 oz.,American Blonde Ale,20.9032258065,5.0,CO,Wild Wolf American Pilsner,Pilsener,Lagers,33.678691750989245,2.9480040073394775
1447,5.0%,"Edwards, CO",Centennial Beer Company,,1218.0,All American Red Ale,12 oz.,American Amber / Red Ale,36.2987012987,5.0,CO,N/A,N/A,N/A,,
1448,5.5%,"Boonville, CA",Anderson Valley Brewing Company,25.0,1217.0,El Steinber Dark Lager,16 oz.,Vienna Lager,25.0,5.5,CA,N/A,N/A,N/A,,
1449,5.8%,"Astoria, OR",Fort George Brewery,,1214.0,Tender Loving Empire NWPA,16 oz.,American Pale Ale (APA),44.9411764706,5.8,OR,SKA Vernal Minthe Stout,Spice/Herb/Vegetable,"Traditional, Spice, Other",66.86499605622157,3.316072940826416
1450,5.9%,"Talkeetna, AK",Denali Brewing Company,55.0,1213.0,Chuli Stout,12 oz.,Irish Dry Stout,55.0,5.9,AK,N/A,India Pale Ale (IPA),Anglo-American Ales,97.15166024515932,3.738964080810547
1451,4.0%,"Salt Lake City, UT",Uinta Brewing Company,17.0,1212.0,SUM'R,12 oz.,American Blonde Ale,17.0,4.0,UT,Notch Session Pils,N/A,Lagers,71.82946923929077,3.348349094390869
1452,6.2%,"Pottstown, PA",Sly Fox Brewing Company,,1211.0,360° India Pale Ale,12 oz.,American IPA,67.634551495,6.2,PA,N/A,N/A,N/A,,
1453,5.0%,"Bend, OR",Deschutes Brewery,40.0,1210.0,Mirror Pond Pale Ale,12 oz.,American Pale Ale (APA),40.0,5.0,OR,N/A,Brown Ale,Anglo-American Ales,42.534898471616096,3.093585968017578
1454,4.7%,"Lewiston, ME",Baxter Brewing Company,,1209.0,Summer Swelter,12 oz.,American Pale Wheat Ale,20.6885245902,4.7,ME,N/A,N/A,N/A,,
1455,5.5%,"Frankenmuth, MI",Frankenmuth Brewery,18.0,1208.0,Twisted Helles Summer Lager,12 oz.,Munich Helles Lager,18.0,5.5,MI,N/A,N/A,N/A,,
1456,4.5%,"Hardy, VA",Sunken City Brewing Company,,1207.0,Dam Lager,12 oz.,American Amber / Red Lager,23.25,4.5,VA,Grey Sail Bring Back the Beach Blonde Ale,Golden Ale/Blond Ale,Anglo-American Ales,,2.9110639095306396
1457,7.0%,"Hardy, VA",Sunken City Brewing Company,,1206.0,Red Clay IPA,12 oz.,American IPA,67.634551495,7.0,VA,Bonfire Dirtbag Dunkel,N/A,Lagers,28.264373712348174,2.8271780014038086
1458,6.5%,"Crozet, VA",Starr Hill Brewery,52.0,1205.0,Northern Lights India Pale Ale,16 oz.,American IPA,52.0,6.5,VA,N/A,N/A,N/A,,
1459,6.2%,"Menominie, WI",Lucette Brewing Company,,1204.0,Hips Don't Lie,16 oz.,Hefeweizen,17.5925925926,6.2,WI,N/A,N/A,N/A,,
1460,7.0%,"Dallas, TX",Deep Ellum Brewing Company,,1203.0,Double Brown Stout,12 oz.,Baltic Porter,54.0,7.0,TX,Sockeye Seasonal Lager Maibock,Heller Bock,Lagers,52.35271286052692,3.2267580032348633
1461,4.8%,"Dallas, TX",Deep Ellum Brewing Company,25.0,1202.0,Farmhouse Wit,16 oz.,Saison / Farmhouse Ale,25.0,4.8,TX,River North White Ale,Witbier,Wheat Beer,46.4217982645998,3.0985169410705566
1462,5.2%,"Lexington, VA",Devil's Backbone Brewing Company,26.0,1201.0,Striped Bass Pale Ale,12 oz.,American Pale Ale (APA),26.0,5.2,VA,N/A,N/A,N/A,,
1463,4.6%,"Sheridan, WY",The Black Tooth Brewing Company,20.0,1200.0,Bomber Mountain Amber Ale (2013),12 oz.,American Amber / Red Ale,20.0,4.6,WY,Brewery Vivant Tripel,Abbey Tripel,Belgian-Style Ales,77.13292386888573,3.370558023452759
1464,7.0%,"Sheridan, WY",The Black Tooth Brewing Company,75.0,1199.0,Indian Paintbrush IPA,12 oz.,American IPA,75.0,7.0,WY,N/A,N/A,N/A,,
1465,4.8%,"Sheridan, WY",The Black Tooth Brewing Company,16.0,1198.0,Saddle Bronc Brown Ale (2013),12 oz.,English Brown Ale,16.0,4.8,WY,Renegade Redacted Rye IPA (Ryeteous),India Pale Ale (IPA),Anglo-American Ales,62.03638828617098,3.285011053085327
1466,5.9%,"Sheridan, WY",The Black Tooth Brewing Company,15.0,1197.0,Wagon Box Wheat Beer,12 oz.,American Pale Wheat Ale,15.0,5.9,WY,N/A,N/A,N/A,,
1467,5.6%,"Manhattan, KS",Tallgrass Brewing Company,20.0,1196.0,Wild Plum Farmhouse Ale,16 oz.,Saison / Farmhouse Ale,20.0,5.6,KS,N/A,N/A,N/A,,
1468,4.5%,"Nellysford, VA",Wild Wolf Brewing Company,25.0,1195.0,Wild Wolf American Pilsner,12 oz.,American Pilsner,25.0,4.5,VA,N/A,N/A,N/A,,
1469,5.1%,"Nellysford, VA",Wild Wolf Brewing Company,45.0,1194.0,Alpha Ale,12 oz.,American Pale Ale (APA),45.0,5.1,VA,N/A,N/A,N/A,,
1470,5.8%,"Soldotna, AK",Kenai River Brewing Company,,1193.0,Skilak Scottish Ale,12 oz.,Scottish Ale,34.25,5.8,AK,N/A,N/A,N/A,,
1471,5.8%,"Durango, CO",Ska Brewing Company,,1192.0,Vernal Minthe Stout,12 oz.,American Stout,43.0,5.8,CO,N/A,N/A,N/A,,
1472,6.8%,"Carlsbad, CA",Pizza Port Brewing Company,,1191.0,Swami's India Pale Ale,16 oz.,American IPA,67.634551495,6.8,CA,N/A,Pilsener,Lagers,63.018700958250676,3.2931129932403564
1473,4.0%,"Ipswich, MA",Notch Brewing Company,,1190.0,Notch Session Pils,12 oz.,Czech Pilsener,33.8125,4.0,MA,Lift Bridge Farm Girl Saison - Peaches & Cream,Saison,Belgian-Style Ales,,2.9097049236297607
1474,6.0%,"Stratford, CT",Two Roads Brewing Company,,1189.0,Honeyspot Road White IPA,12 oz.,American White IPA,48.8333333333,6.0,CT,Oskar Blues Mamas Little Yella Pils,Pilsener,Lagers,44.897957596357976,3.1288399696350098
1475,6.0%,"Jacksonville, FL",Bold City Brewery,,1188.0,Duke's Cold Nose Brown Ale,12 oz.,American Brown Ale,30.0256410256,6.0,FL,N/A,N/A,N/A,,
1476,5.0%,"Soldotna, AK",Kenai River Brewing Company,15.0,1187.0,Peninsula Brewers Reserve (PBR),12 oz.,American Blonde Ale,15.0,5.0,AK,N/A,N/A,N/A,,
1477,4.0%,"Westerly, RI",Grey Sail Brewing of Rhode Island,20.0,1186.0,Hazy Day Belgian-Style Wit,16 oz.,Witbier,20.0,4.0,RI,N/A,N/A,N/A,,
1478,5.5%,"Westerly, RI",Grey Sail Brewing of Rhode Island,,1185.0,Bring Back the Beach Blonde Ale,16 oz.,American Blonde Ale,20.9032258065,5.5,RI,Airways Oatmeal PSA,American Pale Ale,Anglo-American Ales,89.1825489393577,3.440169095993042
1479,4.9%,"Eagle, CO",Bonfire Brewing Company,,1184.0,Dirtbag Dunkel,16 oz.,Munich Dunkel Lager,20.3333333333,4.9,CO,N/A,N/A,N/A,,
1480,5.3%,"Eagle, CO",Bonfire Brewing Company,45.0,1183.0,Kindler Pale Ale,12 oz.,American Pale Ale (APA),45.0,5.3,CO,N/A,N/A,N/A,,
1481,5.1%,"Seven Points, TX",Cedar Creek Brewery,36.0,1182.0,Elliott's Phoned Home Pale Ale,16 oz.,American Pale Ale (APA),36.0,5.1,TX,Denali Mother Ale,Golden Ale/Blond Ale,Anglo-American Ales,37.55660576359989,3.0221760272979736
1482,6.4%,"Boise, ID",Sockeye Brewing Company,,1181.0,Sockeye Maibock,12 oz.,Maibock / Helles Bock,27.5,6.4,ID,N/A,N/A,N/A,,
1483,5.0%,"Denver, CO",River North Brewery,,1180.0,River North White Ale,16 oz.,Witbier,16.44,5.0,CO,Big Bend Tejas Lager,Pilsener,Lagers,57.172764519731366,3.2442750930786133
1484,5.0%,"Denver, CO",River North Brewery,,1179.0,River North Ale,16 oz.,American Amber / Red Ale,36.2987012987,5.0,CO,N/A,N/A,N/A,,
1485,8.2%,"Grand Rapids, MI",Brewery Vivant,,1178.0,Vivant Tripel,16 oz.,Tripel,23.5,8.2,MI,Big Bend Hefeweizen,German Hefeweizen,Wheat Beer,62.31781061418818,3.2861130237579346
1486,6.2%,"Middleton, WI",Capital Brewery,70.0,1177.0,Mutiny IPA,12 oz.,American IPA,70.0,6.2,WI,Big Bend Terlingua Gold Golden Ale,Golden Ale/Blond Ale,Anglo-American Ales,64.82197155824294,3.299549102783203
1487,7.0%,"Denver, CO",Renegade Brewing Company,100.0,1176.0,Redacted Rye IPA,16 oz.,American IPA,100.0,7.0,CO,Fox River Paines Lumberyard Pilsner,Pilsener,Lagers,40.7,2.950000047683716
1488,8.0%,"Brevard, NC",Oskar Blues Brewery (North Carol...,35.0,1175.0,Old Chub,12 oz.,Scottish Ale,35.0,8.0,NC,Beer Studio Golden Galena,Golden Ale/Blond Ale,Anglo-American Ales,,3.0219109058380127
1489,4.0%,"Seattle, WA",Fremont Brewing Company,,1174.0,77 Fremont Select Spring Session IPA,12 oz.,American IPA,67.634551495,4.0,WA,N/A,N/A,N/A,,
1490,6.2%,"Seattle, WA",Two Beers Brewing Company,70.0,1173.0,Evolutionary IPA (2012),12 oz.,American IPA,70.0,6.2,WA,Sockeye Wollybugger Wheat Ale,Wheat Ale,Wheat Beer,19.90877296371874,2.755511999130249
1491,5.2%,"South San Francisco, CA",Armstrong Brewing Company,10.0,1172.0,Mo's Gose,16 oz.,Gose,10.0,5.2,CA,N/A,N/A,N/A,,
1492,7.2%,"Stratford, CT",Two Roads Brewing Company,,1171.0,Road 2 Ruin Double IPA,12 oz.,American Double / Imperial IPA,93.5394736842,7.2,CT,Nebraska India Pale Ale (2011- 2016),India Pale Ale (IPA),Anglo-American Ales,92.33134839356846,3.585010051727295
1493,4.8%,"Stratford, CT",Two Roads Brewing Company,,1170.0,Workers Comp Saison,12 oz.,Saison / Farmhouse Ale,28.3913043478,4.8,CT,N/A,N/A,N/A,,
1494,5.0%,"Stratford, CT",Two Roads Brewing Company,,1169.0,Ol' Factory Pils,12 oz.,German Pilsener,34.1764705882,5.0,CT,N/A,N/A,N/A,,
1495,6.0%,"Stillwater, MN",Lift Bridge Brewing Company,30.0,1168.0,Farm Girl Saison,16 oz.,Saison / Farmhouse Ale,30.0,6.0,MN,Nebraska Cardinal Pale Ale,American Pale Ale,Anglo-American Ales,80.334807231399,3.4207499027252197
1496,5.3%,"Longmont, CO",Oskar Blues Brewery,35.0,1167.0,Mama's Little Yella Pils,19.2 oz.,Czech Pilsener,35.0,5.3,CO,N/A,N/A,N/A,,
1497,6.5%,"Brevard, NC",Oskar Blues Brewery (North Carol...,65.0,1166.0,Dale's Pale Ale,19.2 oz.,American Pale Ale (APA),65.0,6.5,NC,Samuel Adams Boston Lager,Amber Lager/Vienna,Lagers,50.73558069281686,3.217806100845337
1498,5.5%,"Golden, CO",AC Golden Brewing Company,26.0,1165.0,Colorado Native,12 oz.,American Amber / Red Lager,26.0,5.5,CO,Cigar City Humidor Series India Pale Ale,India Pale Ale (IPA),Anglo-American Ales,99.36495106766212,3.933255910873413
1499,5.0%,"San Diego, CA",TailGate Beer,,1164.0,TailGate Saison,12 oz.,Saison / Farmhouse Ale,28.3913043478,5.0,CA,N/A,N/A,N/A,,
1500,,,,,,,,,,,,N/A,N/A,N/A,,
1501,5.0%,"Kent, WA",Airways Brewing Company,35.0,1162.0,Oatmeal PSA,16 oz.,American Pale Ale (APA),35.0,5.0,WA,Cigar City Invasion Pale Ale,American Pale Ale,Anglo-American Ales,95.49545508119829,3.6692779064178467
1502,4.6%,"Dallas, TX",Deep Ellum Brewing Company,,1161.0,Rye Pils Session Lager,12 oz.,German Pilsener,34.1764705882,4.6,TX,Cigar City Maduro Brown Ale,Brown Ale,Anglo-American Ales,91.13980915403856,3.56154203414917
1503,9.9%,"Boise, ID",Sockeye Brewing Company,100.0,1160.0,Old Devil's Tooth,12 oz.,American Barleywine,100.0,9.9,ID,Airways Pre-Flight Pilsner,Pilsener,Lagers,56.88277124879079,3.2357189655303955
1504,5.6%,"Talkeetna, AK",Denali Brewing Company,46.0,1159.0,Mother Ale,12 oz.,American Blonde Ale,46.0,5.6,AK,Brewery Vivant Tart Side of the Moon,Belgian Strong Ale,Belgian-Style Ales,94.83734404799263,3.644901990890503
1505,7.8%,"Alpine, TX",Big Bend Brewing Company,,1158.0,La Frontera Premium IPA,12 oz.,American IPA,67.634551495,7.8,TX,N/A,N/A,N/A,,
1506,4.7%,"Alpine, TX",Big Bend Brewing Company,,1157.0,Tejas Lager,12 oz.,Czech Pilsener,33.8125,4.7,TX,Half Acre Pony Pilsner,Pilsener,Lagers,68.99455858587577,3.332165002822876
1507,6.4%,"Alpine, TX",Big Bend Brewing Company,,1156.0,Number 22 Porter,12 oz.,American Porter,32.2368421053,6.4,TX,N/A,N/A,N/A,,
1508,5.6%,"Alpine, TX",Big Bend Brewing Company,,1155.0,Big Bend Hefeweizen,12 oz.,Hefeweizen,17.5925925926,5.6,TX,Back East Misty Mountain IPA,India Pale Ale (IPA),Anglo-American Ales,56.01078044049051,3.2316319942474365
1509,6.0%,"Alpine, TX",Big Bend Brewing Company,,1154.0,Terlingua Gold,12 oz.,American Blonde Ale,20.9032258065,6.0,TX,Back East Ale,Amber Ale,Anglo-American Ales,44.77656711945726,3.1225829124450684
1510,5.3%,"Flagstaff, AZ",Lumberyard Brewing Company,20.0,1153.0,Lumberyard Pilsner,12 oz.,American Pilsner,20.0,5.3,AZ,Occidental Dunkel,N/A,Lagers,59.19187993895043,3.2674078941345215
1511,4.3%,"Boise, ID",Sockeye Brewing Company,,1152.0,Galena Golden,12 oz.,American Blonde Ale,20.9032258065,4.3,ID,N/A,N/A,N/A,,
1512,5.2%,"Boise, ID",Sockeye Brewing Company,32.0,1151.0,Hell-Diver Pale Ale,12 oz.,American Pale Ale (APA),32.0,5.2,ID,Sun King Ring of Dingle,Dry Stout,Stouts and Porters,88.46430880151257,3.511992931365967
1513,4.6%,"Boise, ID",Sockeye Brewing Company,12.0,1150.0,Woolybugger Wheat,12 oz.,American Pale Wheat Ale,12.0,4.6,ID,Sun King Bourbon Barrel Wee Mac,Scottish Ale,Anglo-American Ales,,3.268095016479492
1514,6.5%,"Lexington, KY",Alltech's Lexington Brewing Company,,1149.0,Kentucky IPA,16 oz.,American IPA,67.634551495,6.5,KY,N/A,N/A,N/A,,
1515,6.5%,"Papillion, NE",Nebraska Brewing Company,65.0,1148.0,Nebraska India Pale Ale,12 oz.,American IPA,65.0,6.5,NE,MadTree Gnarly Brown,Brown Ale,Anglo-American Ales,87.72412415640613,3.4993250370025635
1516,4.8%,"Papillion, NE",Nebraska Brewing Company,10.0,1147.0,EOS Hefeweizen,12 oz.,Hefeweizen,10.0,4.8,NE,MadTree Happy Amber,Amber Ale,Anglo-American Ales,70.81175238176667,3.3448829650878906
1517,4.8%,"Papillion, NE",Nebraska Brewing Company,15.0,1146.0,Brunette Nut Brown Ale,12 oz.,English Brown Ale,15.0,4.8,NE,N/A,N/A,N/A,,
1518,5.7%,"Papillion, NE",Nebraska Brewing Company,29.0,1145.0,Cardinal Pale Ale,12 oz.,American Pale Ale (APA),29.0,5.7,NE,Lucette Ride Again Pale Ale,American Pale Ale,Anglo-American Ales,93.06835357769383,3.6014649868011475
1519,5.3%,"Boston, MA",Boston Beer Company,7.0,1144.0,Samuel Adams Summer Ale,12 oz.,American Pale Wheat Ale,7.0,5.3,MA,N/A,N/A,N/A,,
1520,4.9%,"Boston, MA",Boston Beer Company,30.0,1143.0,Boston Lager,12 oz.,Vienna Lager,30.0,4.9,MA,SPB Cicada Series Hipster Breakfast,Sweet Stout,Stouts and Porters,77.58891341449946,3.30812406539917
1521,7.5%,"Tampa, FL",Cigar City Brewing Company,70.0,1142.0,Humidor Series India Pale Ale,12 oz.,American IPA,70.0,7.5,FL,N/A,N/A,N/A,,
