,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state
2119,5.0%,"Henderson, NV",Joseph James Brewing Company,50,469,Fox Tail Gluten Free Ale,12 oz.,American Pale Ale (APA),50.0,5.0,NV
2120,9.3%,"Henderson, NV",Joseph James Brewing Company,90,468,Hop Box Imperial IPA,12 oz.,American Double / Imperial IPA,90.0,9.3,NV
2121,5.2%,"Henderson, NV",Joseph James Brewing Company,15,467,Joseph James American Lager,12 oz.,American Adjunct Lager,15.0,5.2,NV
2122,4.8%,"Boulder, CO",Upslope Brewing Company,15,466,Top Rope Mexican-style Craft Lager,12 oz.,Vienna Lager,15.0,4.8,CO
2123,4.9%,"Houston, TX",Karbach Brewing Company,45,465,Sympathy for the Lager,12 oz.,American Amber / Red Lager,45.0,4.9,TX
2124,5.2%,"Houston, TX",Karbach Brewing Company,15,464,Weisse Versa,12 oz.,Hefeweizen,15.0,5.2,TX
2125,6.6%,"Houston, TX",Karbach Brewing Company,70,463,Hopadillo India Pale Ale,12 oz.,American IPA,70.0,6.6,TX
2126,4.5%,"Rochester, NY",Dundee Brewing Company,18,457,Dundee Summer Wheat Beer,12 oz.,American Pale Wheat Ale,18.0,4.5,NY
2127,5.7%,"Stevens Point, WI",Stevens Point Brewery,15,456,Point Oktoberfest,12 oz.,Märzen / Oktoberfest,15.0,5.7,WI
2128,7.5%,"Aurora, IN",Great Crescent Brewery,65,455,Bourbon's Barrel Stout,16 oz.,American Stout,65.0,7.5,IN
2129,4.7%,"Utica, NY",Matt Brewing Company,N/A,453,Saranac Summer Ale (2011),12 oz.,American Pale Wheat Ale,20.6885245902,4.7,NY
2130,4.6%,"Seattle, WA",Two Beers Brewing Company,N/A,451,Panorama Wheat Ale,12 oz.,American Pale Wheat Ale,20.6885245902,4.6,WA
2136,5.0%,"Glendale, WI",Sprecher Brewing Company,22,445,Special Amber,12 oz.,Vienna Lager,22.0,5.0,WI
2137,4.8%,"Boulder, CO",Upslope Brewing Company,22,444,Upslope Craft Lager,12 oz.,Vienna Lager,22.0,4.8,CO
2138,8.0%,"Aurora, IN",Great Crescent Brewery,66,442,Great Crescent Stout,16 oz.,English Stout,66.0,8.0,IN
2139,5.6%,"Aurora, IN",Great Crescent Brewery,33,441,Great Crescent Coconut Porter (2012),16 oz.,American Porter,33.0,5.6,IN
2140,5.7%,"Aurora, IN",Great Crescent Brewery,23,440,Great Crescent Dark Lager,16 oz.,Euro Dark Lager,23.0,5.7,IN
2141,4.2%,"Aurora, IN",Great Crescent Brewery,26,439,Great Crescent Mild Ale,16 oz.,English Dark Mild Ale,26.0,4.2,IN
