,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state
647,8.5%,"Westerly, RI",Grey Sail Brewing Company,69,2044,Captain's Daughter,12 oz.,American Double / Imperial IPA,69.0,8.5,RI
648,5.6%,"College Station, TX",New Republic Brewing Company,20,2043,Skylight,12 oz.,Dunkelweizen,20.0,5.6,TX
649,5.6%,"College Station, TX",New Republic Brewing Company,30,2042,Kadigan,12 oz.,American Blonde Ale,30.0,5.6,TX
650,5.2%,"College Station, TX",New Republic Brewing Company,50,2041,Dammit Jim!,12 oz.,American Amber / Red Ale,50.0,5.2,TX
651,6.0%,"Oklahoma City, OK",Anthem Brewing Company,N/A,2040,Arjuna,12 oz.,Witbier,16.44,6.0,OK
652,8.5%,"Oklahoma City, OK",Anthem Brewing Company,N/A,2039,Uroboros,12 oz,American Stout,43.0,8.5,OK
653,7.0%,"Austin, TX",Infamous Brewing Company,75,2038,Infamous IPA,12 oz.,American IPA,75.0,7.0,TX
654,4.5%,"Plant City, FL",Two Henrys Brewing Company,N/A,2037,The Gilded Age,12 oz.,Munich Helles Lager,17.9166666667,4.5,FL
655,5.2%,"Stillwater, MN",Lift Bridge Brewing Company,30,2036,Getaway,16 oz.,German Pilsener,30.0,5.2,MN
656,5.5%,"Torrance, CA",The Dudes' Brewing Company,N/A,2035,Kolschtal Eddy,16 oz,Kölsch,21.7777777778,5.5,CA
657,5.0%,"Torrance, CA",The Dudes' Brewing Company,N/A,2034,South Bay Session IPA,16 oz.,American IPA,67.634551495,5.0,CA
658,3.8%,"Jackson, MS",Lucky Town Brewing Company,18,2033,Pub Ale,12 oz.,English Dark Mild Ale,18.0,3.8,MS
659,5.1%,"Jackson, MS",Lucky Town Brewing Company,31,2032,Ballistic Blonde,12 oz.,Belgian Pale Ale,31.0,5.1,MS
660,4.5%,"Greenville, SC",Quest Brewing Company,35,2031,Golden Fleece,12 oz.,Belgian Pale Ale,35.0,4.5,SC
661,5.5%,"Greenville, SC",Quest Brewing Company,30,2030,Smoking Mirror,12 oz.,American Porter,30.0,5.5,SC
662,6.5%,"Athens, GA",Creature Comforts,65,2029,Tropicalia,12 oz.,American IPA,65.0,6.5,GA
663,4.5%,"Athens, GA",Creature Comforts,N/A,2028,Athena,12 oz,Berliner Weissbier,7.8,4.5,GA
664,8.2%,"Shelburne, VT",Fiddlehead Brewing Company,N/A,2027,Hyzer Flip,16 oz.,American Double / Imperial IPA,93.5394736842,8.2,VT
665,7.0%,"Stamford, CT",Half Full Brewery,40,2026,Pursuit,12 oz,American IPA,40.0,7.0,CT
666,6.3%,"Bloomington, IL",Destihl Brewery,76,2025,Vertex IPA,12 oz.,American IPA,76.0,6.3,IL
667,3.5%,"Southampton, NY",Southampton Publick House,N/A,2024,Montauk Light,12 oz.,Light Lager,11.6666666667,3.5,NY
668,6.3%,"Grand Rapids, MI",Brewery Vivant,N/A,2023,Pepper in the Rye,16 oz,Rye Beer,52.0,6.3,MI
669,5.0%,"Kalamazoo, MI",Bell's Brewery,N/A,2022,Winter White,16 oz.,Witbier,16.44,5.0,MI
670,5.0%,"Bloomington, IL",Destihl Brewery,12,2021,Here Gose Nothin',12 oz.,Gose,12.0,5.0,IL
671,4.5%,"Angola, IN",Chapman's Brewing,N/A,2019,Enlighten,16 oz.,Kölsch,21.7777777778,4.5,IN
672,6.5%,"Angola, IN",Chapman's Brewing,8,2018,Ale Cider,16 oz.,Fruit / Vegetable Beer,8.0,6.5,IN
673,5.5%,"Angola, IN",Chapman's Brewing,30,2017,Pail Ale,16 oz.,American Pale Ale (APA),30.0,5.5,IN
674,4.5%,"Angola, IN",Chapman's Brewing,N/A,2016,Englishman,16 oz.,English Brown Ale,23.2,4.5,IN
675,5.0%,"Bloomington, IL",Destihl Brewery,N/A,2015,Strawberry Blonde,12 oz,Fruit / Vegetable Beer,14.2,5.0,IL
676,6.2%,"Tampa, FL",Cigar City Brewing Company,65,2014,Operation Homefront,12 oz,American IPA,65.0,6.2,FL
677,8.2%,"Tampa, FL",Cigar City Brewing Company,65,2013,Wandering Pelican,12 oz.,American Black Ale,65.0,8.2,FL
678,5.5%,"Tampa, FL",Cigar City Brewing Company,N/A,2012,Sugar Plum,12 oz.,American Brown Ale,30.0256410256,5.5,FL
679,5.5%,"Tampa, FL",Cigar City Brewing Company,N/A,2011,Oktoberfest,12 oz.,Märzen / Oktoberfest,22.9047619048,5.5,FL
680,6.0%,"Tampa, FL",Cigar City Brewing Company,N/A,2010,Puppy's Breath Porter,12 oz,American Porter,32.2368421053,6.0,FL
681,4.5%,"Tampa, FL",Cigar City Brewing Company,N/A,2009,Happening Now,12 & 16 oz.,American IPA,67.634551495,4.5,FL
682,5.2%,"Denver, CO",Epic Brewing,N/A,2008,Element 29,12 oz.,American Pale Ale (APA),44.9411764706,5.2,CO
683,4.0%,"Birmingham, MI",Griffin Claw Brewing Company,55,2007,Norm's Gateway IPA,12 oz.,American IPA,55.0,4.0,MI
684,6.4%,"Grand Rapids, MI",Brewery Vivant,N/A,2006,Moe Lasses',16 oz,American Stout,43.0,6.4,MI
685,6.0%,"Tucson, AZ",Barrio Brewing Company,60,2005,Barrio Blanco,12 oz.,American IPA,60.0,6.0,AZ
686,5.0%,"Denver, CO",Epic Brewing,N/A,2004,Hop Syndrome,12 oz.,American Pale Lager,25.8823529412,5.0,CO
687,6.2%,"Denver, CO",Epic Brewing,N/A,2003,Escape to Colorado,12 oz,American IPA,67.634551495,6.2,CO
688,8.9%,"Santa Cruz, CA",Santa Cruz Mountain Brewing,88,2002,Giant DIPA,16 oz.,American Double / Imperial IPA,88.0,8.9,CA
689,6.4%,"Indianapolis, IN",Sun King Brewing Company,75,2001,Fistful Of Hops Red,16 oz.,American IPA,75.0,6.4,IN
690,6.3%,"Indianapolis, IN",Sun King Brewing Company,75,2000,Fistful of Hops Orange,16 oz,American IPA,75.0,6.3,IN
691,6.4%,"Indianapolis, IN",Sun King Brewing Company,75,1999,Fistful Of Hops Blue,16 oz,American IPA,75.0,6.4,IN
692,5.6%,"Frankenmuth, MI",Frankenmuth Brewery,N/A,1998,Old Detroit,12 oz,American Amber / Red Ale,36.2987012987,5.6,MI
693,7.0%,"Grand Rapids, MI",Brewery Vivant,N/A,1997,Pumpkin Tart,16 oz.,Fruit / Vegetable Beer,14.2,7.0,MI
694,6.4%,"Indianapolis, IN",Sun King Brewing Company,75,1996,Fistful of Hops Green,16 oz.,American IPA,75.0,6.4,IN
695,5.5%,"Chandler, AZ",SanTan Brewing Company,N/A,1995,Oktoberfest,12 oz.,Märzen / Oktoberfest,22.9047619048,5.5,AZ
696,7.9%,"Cincinnati, OH",Madtree Brewing Company,18,1994,The Great Pumpcan,16 oz.,Fruit / Vegetable Beer,18.0,7.9,OH
697,5.8%,"Cincinnati, OH",Rhinegeist Brewery,35,1993,Panther,12 oz.,American Porter,35.0,5.8,OH
698,5.2%,"Cincinnati, OH",Rhinegeist Brewery,21,1992,Franz,12 oz.,Märzen / Oktoberfest,21.0,5.2,OH
699,5.7%,"Aurora, IN",Great Crescent Brewery,18,1990,Cherry Ale,16 oz.,Fruit / Vegetable Beer,18.0,5.7,IN
700,5.8%,"Kalamazoo, MI",Bell's Brewery,N/A,1989,Oberon,16 oz.,American Pale Wheat Ale,20.6885245902,5.8,MI
701,7.0%,"Kalamazoo, MI",Bell's Brewery,N/A,1988,Two Hearted,16 oz.,American IPA,67.634551495,7.0,MI
702,5.0%,"Fort Collins, CO",New Belgium Brewing Company,29,1987,Shift,12 oz.,American Pale Lager,29.0,5.0,CO
703,6.9%,"Somerset Center, MI",Meckley's Cidery,N/A,1986,Bushwhacker Cider,16 oz,Cider,0.0,6.9,MI
704,6.9%,"Somerset Center, MI",Meckley's Cidery,N/A,1985,Weim-R-Iner,16 oz.,Cider,0.0,6.9,MI
705,6.9%,"Somerset Center, MI",Meckley's Cidery,N/A,1984,Cherry Bomb,16 oz.,Cider,0.0,6.9,MI
706,5.0%,"Baltimore, MD",Stillwater Artisanal Ales,N/A,1983,Brontide,12 oz.,American Black Ale,68.9,5.0,MD
707,4.0%,"Evanston, IL",Temperance Beer Company,N/A,1982,Greenwood Beach,12 oz.,Fruit / Vegetable Beer,14.2,4.0,IL
708,9.0%,"Chicago, IL",Finch's Beer Company,N/A,1981,Hardcore Chimera,16 oz.,American Double / Imperial IPA,93.5394736842,9.0,IL
709,8.5%,"Gary, IN",18th Street Brewery,N/A,1980,Troll Destroyer,12 oz.,Belgian IPA,57.0,8.5,IN
710,6.1%,"Gary, IN",18th Street Brewery,60,1979,Bitter Bitch,12 oz,American Pale Ale (APA),60.0,6.1,IN
711,5.6%,"Fort Collins, CO",New Belgium Brewing Company,21,1978,1554 Black Lager,12 oz,Euro Dark Lager,21.0,5.6,CO
712,6.7%,"Grand Rapids, MI",Brewery Vivant,N/A,1977,Undertaker,16 oz.,Belgian Dark Ale,29.6666666667,6.7,MI
713,6.7%,"Grand Rapids, MI",Brewery Vivant,N/A,1976,Undertaker (2014),16 oz.,Belgian Dark Ale,29.6666666667,6.7,MI
714,4.8%,"Fort Collins, CO",New Belgium Brewing Company,N/A,1975,Blue Paddle,12 oz.,Czech Pilsener,33.8125,4.8,CO
715,5.0%,"Grand Rapids, MI",Brewery Vivant,N/A,1974,Coq D'Or,16 oz.,Belgian Pale Ale,23.875,5.0,MI
716,6.0%,"Grand Rapids, MI",Brewery Vivant,N/A,1973,North French,16 oz.,Bière de Garde,23.0,6.0,MI
717,7.0%,"South Austin, TX",South Austin Brewery,18,1972,LuckenBock,16 oz.,Bock,18.0,7.0,TX
718,5.5%,"South Austin, TX",South Austin Brewery,40,1971,Texas Pale Ale (TPA),16 oz.,American IPA,40.0,5.5,TX
719,8.0%,"South Austin, TX",South Austin Brewery,N/A,1970,6 String Saison,16 oz.,Saison / Farmhouse Ale,28.3913043478,8.0,TX
720,5.0%,"South Austin, TX",South Austin Brewery,22,1969,Kol' Beer,16 oz.,Kölsch,22.0,5.0,TX
721,4.8%,"Buellton, CA",Figueroa Mountain Brewing Company,20,1968,FMB 101,12 oz.,Kölsch,20.0,4.8,CA
722,5.4%,"Mishawaka, IN",Evil Czech Brewery,48,1967,General George Patton Pilsner,16 oz.,Czech Pilsener,48.0,5.4,IN
723,5.4%,"Minneapolis, MN",Bauhaus Brew Labs,55,1966,Wagon Party,12 oz.,California Common / Steam Beer,55.0,5.4,MN
724,6.7%,"Minneapolis, MN",Bauhaus Brew Labs,70,1965,Sky-Five,12 oz. ,American IPA,70.0,6.7,MN
725,5.0%,"Minneapolis, MN",Bauhaus Brew Labs,28,1964,Stargrazer,12 oz.,Schwarzbier,28.0,5.0,MN
726,5.4%,"Minneapolis, MN",Bauhaus Brew Labs,48,1963,Wonderstuff,12 oz.,German Pilsener,48.0,5.4,MN
727,4.7%,"Brooklyn, NY",Sixpoint Craft Ales,50,1962,Sensi Harvest,12 oz. ,American Pale Ale (APA),50.0,4.7,NY
728,4.0%,"Rogers, AR",Ozark Beer Company,39,1961,Ozark American Pale Ale,12 oz.,American Pale Ale (APA),39.0,4.0,AR
729,5.8%,"Los Angeles, CA",Golden Road Brewing,35,1960,Saison Pamplemousse,12 oz.,Saison / Farmhouse Ale,35.0,5.8,CA
730,6.5%,"Grand Rapids, MI",Brewery Vivant,N/A,1959,Agent a Deux,16 oz,Belgian Dark Ale,29.6666666667,6.5,MI
731,4.5%,"Grand Rapids, MI",Brewery Vivant,N/A,1958,Belgian Wit,16 oz.,Witbier,16.44,4.5,MI
732,4.7%,"Paso Robles, CA",Firestone Walker Brewing Company,N/A,1957,805 Blonde Ale,12 oz,American Blonde Ale,20.9032258065,4.7,CA
733,4.2%,"Lafayette, IN",People's Brewing Company,N/A,1956,Farmer's Daughter Wheat,12 oz.,American Pale Wheat Ale,20.6885245902,4.2,IN
734,5.8%,"Kalamazoo, MI",Bell's Brewery,N/A,1955,Best Brown,16 oz.,American Brown Ale,30.0256410256,5.8,MI
735,5.6%,"Middleton, WI",Capital Brewery,55,1954,Ghost Ship White IPA,12 oz.,American IPA,55.0,5.6,WI
736,5.2%,"Marquette, MI",Blackrocks Brewery,N/A,1953,Honey Lav,12 oz.,American Pale Wheat Ale,20.6885245902,5.2,MI
737,8.2%,"Mount Pleasant, MI",Mountain Town Brewing Company ,N/A,1952,Train Wreck,16 oz,American Amber / Red Ale,36.2987012987,8.2,MI
738,4.5%,"Bloomington, IN",Upland Brewing Company,15,1951,Upland Wheat Ale,16 oz.,Witbier,15.0,4.5,IN
739,6.0%,"Bloomington, IN",Upland Brewing Company,N/A,1950,Dragonfly IPA,16 oz.,American IPA,67.634551495,6.0,IN
740,6.3%,"Grand Rapids, MI",Brewery Vivant,N/A,1949,Pothole Stout,16 oz.,American Stout,43.0,6.3,MI
742,9.3%,"Grand Rapids, MI",Brewery Vivant,N/A,1947,Tree Bucket,16 oz.,Belgian IPA,57.0,9.3,MI
743,5.5%,"Waterbury, VT",Otter Creek Brewing,55,1946,Overgrown American Pale Ale,12 oz.,American Pale Ale (APA),55.0,5.5,VT
744,5.0%,"Baltimore, MD",The Brewer's Art,N/A,1945,Birdhouse Pale Ale,12 oz.,Belgian Pale Ale,23.875,5.0,MD
745,7.0%,"Denver, CO",Denver Beer Company,N/A,1944,Incredible Pedal IPA,12 oz. ,American IPA,67.634551495,7.0,CO
746,5.0%,"Denver, CO",Denver Beer Company,N/A,1943,Graham Cracker Porter,12 oz. ,American Porter,32.2368421053,5.0,CO
747,4.5%,"Durango, CO",Ska Brewing Company,N/A,1942,Rudie Session IPA,12 oz.,American IPA,67.634551495,4.5,CO
748,3.9%,"Atlantic Highlands, NJ",Carton Brewing Company,9,1941,Monkey Chased the Weasel,16 oz.,Berliner Weissbier,9.0,3.9,NJ
749,7.8%,"Atlantic Highlands, NJ",Carton Brewing Company,80,1940,077XX,16 oz.,American Double / Imperial IPA,80.0,7.8,NJ
750,6.6%,"Evanston, IL",Temperance Beer Company,N/A,1939,Gatecrasher,12 oz.,English India Pale Ale (IPA),54.7142857143,6.6,IL
751,6.2%,"Albuquerque, NM",Tractor Brewing Company,72,1938,Almanac IPA,12 oz.,American IPA,72.0,6.2,NM
752,6.5%,"Albuquerque, NM",Tractor Brewing Company,N/A,1937,Milk Mustachio Stout,12 oz.,Milk / Sweet Stout,25.1666666667,6.5,NM
753,6.0%,"Albuquerque, NM",Tractor Brewing Company,30,1936,Farmer's Tan Red Ale,12 oz.,American Amber / Red Ale,30.0,6.0,NM
754,4.3%,"Cincinnati, OH",Rhinegeist Brewery,45,1935,Zen,12 oz. ,American Pale Ale (APA),45.0,4.3,OH
755,5.0%,"Chandler, AZ",SanTan Brewing Company,15,1934,SunSpot Golden Ale,12 oz.,American Blonde Ale,15.0,5.0,AZ
756,7.0%,"Charlottesville, VA",Champion Brewing Company,65,1933,Missile IPA,12 oz.,American IPA,65.0,7.0,VA
757,6.5%,"Boulder, CO",Upslope Brewing Company,33,1932,Thai Style White IPA,12 oz. ,American White IPA,33.0,6.5,CO
758,4.6%,"Portland, ME",Peak Organic Brewing Company,N/A,1931,Fresh Cut Pilsner,12 oz. ,American Pilsner,24.8,4.6,ME
759,5.0%,"Portland, ME",Peak Organic Brewing Company,61,1930,Summer Session Ale,12 oz. ,American Pale Wheat Ale,61.0,5.0,ME
760,8.2%,"Shelburne, VT",Fiddlehead Brewing Company,80,1929,Second Fiddle,16 oz.,American Double / Imperial IPA,80.0,8.2,VT
761,5.5%,"Hyannis, MA",Cape Cod Beer,35,1928,Cape Cod Red,16 oz.,American Amber / Red Ale,35.0,5.5,MA
762,4.9%,"Hyannis, MA",Cape Cod Beer,10,1927,Beach Blonde,16 oz.,American Blonde Ale,10.0,4.9,MA
763,5.9%,"Bridgewater Corners, VT",Long Trail Brewing Company,42,1926,Long Trail IPA,12 oz. ,English India Pale Ale (IPA),42.0,5.9,VT
764,4.0%,"Salt Lake City, UT",Uinta Brewing Company,42,1925,Trader Session IPA,12 oz.,American IPA,42.0,4.0,UT
765,4.6%,"Bridgewater Corners, VT",Long Trail Brewing Company,30,1924,Long Trail Ale,12 oz. ,American Amber / Red Ale,30.0,4.6,VT
766,5.2%,"Shreveport, LA",Great Raft Brewing Company,49,1923,Commotion APA,12 oz.,American Pale Ale (APA),49.0,5.2,LA
767,5.2%,"Shreveport, LA",Great Raft Brewing Company,N/A,1922,Southern Drawl Pale Lager,12 oz.,American Pale Lager,25.8823529412,5.2,LA
768,5.3%,"Juneau, AK",Alaskan Brewing Company,40,1921,Freeride APA,12 oz.,American Pale Ale (APA),40.0,5.3,AK
769,5.3%,"Juneau, AK",Alaskan Brewing Company,18,1920,Alaskan Amber,12 oz. ,Altbier,18.0,5.3,AK
770,6.0%,"Chico, CA",Sierra Nevada Brewing Company,N/A,1919,Yonder Bock,12 oz. ,Maibock / Helles Bock,27.5,6.0,CA
771,6.0%,"Chico, CA",Sierra Nevada Brewing Company,N/A,1918,CANfusion Rye Bock,12 oz.,Rye Beer,52.0,6.0,CA
772,4.3%,"Ipswich, MA",Notch Brewing Company,N/A,1917,Left of the Dial IPA,12 oz. ,American IPA,67.634551495,4.3,MA
773,6.0%,"Waterbury, VT",The Alchemist,N/A,1916,Petit Mutant,16 oz.,American Wild Ale,27.0,6.0,VT
774,9.6%,"Waterbury, VT",The Alchemist,N/A,1915,The Crusher,16 oz.,American Double / Imperial IPA,93.5394736842,9.6,VT
775,8.0%,"Waterbury, VT",The Alchemist,N/A,1914,Beelzebub,16 oz.,American Double / Imperial Stout,62.0,8.0,VT
776,5.3%,"Charlottesville, VA",Three Notch'd Brewing Company,22,1913,Hydraulion Red,12 oz.,Irish Red Ale,22.0,5.3,VA
777,6.0%,"Charlottesville, VA",Three Notch'd Brewing Company,50,1912,40 Mile IPA,12 oz.,American IPA,50.0,6.0,VA
778,4.5%,"Astoria, OR",Fort George Brewery,N/A,1911,Suicide Squeeze IPA,16 oz.,American IPA,67.634551495,4.5,OR
779,4.6%,"Middleton, WI",Capital Brewery,18,1910,Lake House,16 oz.,Munich Helles Lager,18.0,4.6,WI
780,9.9%,"Cleveland, OH",Portside Brewery,N/A,1909,Big Chuck Barleywine,12 oz. ,American Barleywine,96.0,9.9,OH
781,5.5%,"Middlebury, VT",Otter Creek Brewing,45,1908,Fresh Slice White IPA,12 oz.,American White IPA,45.0,5.5,VT
782,5.6%,"Montauk, NY",Montauk Brewing Company,28,1907,Montauk Summer Ale,12 oz.,American Blonde Ale,28.0,5.6,NY
783,6.0%,"Montauk, NY",Montauk Brewing Company,49,1906,Driftwood Ale,12 oz.,Extra Special / Strong Bitter (ESB),49.0,6.0,NY
784,5.6%,"Chico, CA",Sierra Nevada Brewing Company,37,1905,Sierra Nevada Pale Ale,16 oz.,American Pale Ale (APA),37.0,5.6,CA
785,5.9%,"Austin, TX",Independence Brewing Company,27,1904,White Rabbit ,12 oz.,Witbier,27.0,5.9,TX
786,6.8%,"Minneapolis, MN",Indeed Brewing Company,90,1903,Let It Ride IPA,12 oz. ,American IPA,90.0,6.8,MN
787,5.6%,"Duluth, MN",Bent Paddle Brewing Company,32,1902,14° ESB ,12 oz.,Extra Special / Strong Bitter (ESB),32.0,5.6,MN
788,6.2%,"Duluth, MN",Bent Paddle Brewing Company,68,1901,Bent Hop Golden IPA,12 oz.,American IPA,68.0,6.2,MN
789,5.5%,"South Deerfield, MA",Berkshire Brewing Company,40,1900,Lost Sailor IPA,12 oz.,English India Pale Ale (IPA),40.0,5.5,MA
790,7.8%,"Pawtucket, RI",Foolproof Brewing Company,N/A,1899,La Ferme Urbaine Farmhouse Ale,12 oz.,Saison / Farmhouse Ale,28.3913043478,7.8,RI
791,7.5%,"Temecula, CA",Black Market Brewing Company,35,1898,Blackmarket Rye IPA,12 oz. ,American IPA,35.0,7.5,CA
792,5.0%,"Temecula, CA",Black Market Brewing Company,8,1897,Black Market Hefeweizen,12 oz.,Hefeweizen,8.0,5.0,CA
793,5.8%,"Temecula, CA",Black Market Brewing Company,44,1896,Aftermath Pale Ale,12 oz.,American Pale Ale (APA),44.0,5.8,CA
794,7.6%,"Mill Valley, CA",Headlands Brewing Company,65,1895,Groupe G,16 oz.,Belgian IPA,65.0,7.6,CA
795,6.2%,"Mill Valley, CA",Headlands Brewing Company,40,1894,Pt. Bonita Rustic Lager,16 oz.,American Pale Lager,40.0,6.2,CA
796,8.8%,"Mill Valley, CA",Headlands Brewing Company,77,1893,Hill 88 Double IPA,16 oz.,American Double / Imperial IPA,77.0,8.8,CA
797,4.2%,"Ridgefield Park, NJ",Bolero Snort Brewery,30,1891,Longhop IPA,16 oz.,American IPA,30.0,4.2,NJ
798,4.0%,"Ridgefield Park, NJ",Bolero Snort Brewery,34,1890,Lucky Buck,16 oz.,Irish Dry Stout,34.0,4.0,NJ
799,5.2%,"Kearney, NE",Thunderhead Brewing Company,N/A,1889,Leatherhead Red,12 oz. ,American Amber / Red Ale,36.2987012987,5.2,NE
800,9.6%,"Bloomington, IL",Destihl Brewery,85,1888,Hoperation Overload,12 oz. ,American Double / Imperial IPA,85.0,9.6,IL
801,4.9%,"Bloomington, IL",Destihl Brewery,22,1887,Abbey's Single Ale (Current),12 oz.,Abbey Single Ale,22.0,4.9,IL
802,4.5%,"Hays, KS",Defiance Brewing Company,44,1886,Thrasher Session India Pale Ale,12 oz. ,American IPA,44.0,4.5,KS
803,5.0%,"Hays, KS",Defiance Brewing Company,16,1885,Gutch English Style Mild Ale,12 oz.,English Pale Mild Ale,16.0,5.0,KS
804,8.7%,"Milwaukee, WI",Milwaukee Brewing Company,80,1884,Hop Freak,16 oz.,American Double / Imperial IPA,80.0,8.7,WI
805,5.2%,"Longmont, CO",Oskar Blues Brewery,N/A,1883,Centennial State Pale Ale,19.2,American Pale Ale (APA),44.9411764706,5.2,CO
806,4.8%,"Port Clinton, OH",Catawba Island Brewing,16,1882,Whitecap Wit,16 oz.,Witbier,16.0,4.8,OH
807,7.8%,"Port Clinton, OH",Catawba Island Brewing,16,1881,Seiche Scottish Ale,16 oz.,Scottish Ale,16.0,7.8,OH
808,7.1%,"Export, PA",Rivertowne Brewing Company,N/A,1880,All Aboard! Anniversary Stout,12 oz. ,Oatmeal Stout,28.0909090909,7.1,PA
809,6.2%,"Export, PA",Rivertowne Brewing Company,N/A,1879,Hop Lace,12 oz. ,American White IPA,48.8333333333,6.2,PA
810,4.8%,"Export, PA",Rivertowne Brewing Company,N/A,1878,OH-PA Session Pale Ale,12 oz.,American Pale Ale (APA),44.9411764706,4.8,PA
811,8.0%,"Export, PA",Rivertowne Brewing Company,N/A,1877,Patrick's Poison,12 oz. ,American Amber / Red Ale,36.2987012987,8.0,PA
812,6.0%,"Gadsden, AL",Back Forty Beer Company,N/A,1876,Truck Stop Honey Brown Ale,12 oz.,English Brown Ale,23.2,6.0,AL
813,6.0%,"Gadsden, AL",Back Forty Beer Company,43,1875,Naked Pig Pale Ale,12 oz.,American Pale Ale (APA),43.0,6.0,AL
814,7.6%,"Dallas, TX",Four Corners Brewing Company,73,1874,El Chingon IPA,12 oz.,American IPA,73.0,7.6,TX
815,5.7%,"Dallas, TX",Four Corners Brewing Company,40,1873,Block Party Robust Porter,12 oz. ,American Porter,40.0,5.7,TX
816,5.2%,"Dallas, TX",Four Corners Brewing Company,20,1872,Local Buzz,12 oz.,American Blonde Ale,20.0,5.2,TX
817,5.0%,"Saint Louis, MO",4 Hands Brewing Company,28,1870,Contact High,12 oz.,American Pale Wheat Ale,28.0,5.0,MO
818,5.0%,"San Diego, CA",Saint Archer Brewery,15,1868,Saint Archer White Ale,12 oz.,Witbier,15.0,5.0,CA
819,6.8%,"San Diego, CA",Saint Archer Brewery,66,1867,Saint Archer IPA,12 oz.,American IPA,66.0,6.8,CA
820,5.2%,"San Diego, CA",Saint Archer Brewery,40,1865,Saint Archer Pale Ale,12 oz.,American Pale Ale (APA),40.0,5.2,CA
821,4.8%,"San Diego, CA",Saint Archer Brewery,22,1864,Saint Archer Blonde,12 oz.,Kölsch,22.0,4.8,CA
822,9.9%,"Blanco, TX",Real Ale Brewing Company,85,1861,BLAKKR,12 oz.,American Black Ale,85.0,9.9,TX
823,5.1%,"Newport, OR",Rogue Ales,N/A,1860,Rogue American Amber Ale,16 oz.,American Amber / Red Ale,36.2987012987,5.1,OR
824,8.0%,"Longmont, CO",Oskar Blues Brewery,N/A,1859,Old Chub NITRO,16 oz.,Scotch Ale / Wee Heavy,24.2307692308,8.0,CO
825,5.5%,"Shelburne, VT",Fiddlehead Brewing Company,30,1858,Hodad Porter,16 oz.,American Porter,30.0,5.5,VT
826,6.9%,"Seattle, WA",Hale's Ales,67,1857,Supergoose IPA,12 oz.,American IPA,67.0,6.9,WA
827,7.3%,"Idaho Springs, CO",Tommyknocker Brewery,87,1856,IPA & a Half,12 oz.,American IPA,87.0,7.3,CO
828,5.3%,"Lewiston, ME",Baxter Brewing Company,N/A,1855,Tarnation California-Style Lager,12 oz.,California Common / Steam Beer,41.0,5.3,ME
829,6.9%,"Northamtpon, MA",Northampton Brewery,N/A,1854,Blue Boots IPA,16 oz.,American IPA,67.634551495,6.9,MA
830,7.5%,"Boulder, CO",Upslope Brewing Company,30,1853,Ferus Fluxus Wild Belgian Pale Ale,19.2 oz.,American Wild Ale,30.0,7.5,CO
831,7.2%,"Cincinnati, OH",Rhinegeist Brewery,75,1852,Truth,12 oz.,American IPA,75.0,7.2,OH
832,4.8%,"Cincinnati, OH",Rhinegeist Brewery,25,1851,Cougar,12 oz.,American Blonde Ale,25.0,4.8,OH
833,7.1%,"Denver, CO",Black Shirt Brewing Company,83,1850,American India Red Ale,12 oz.,American Strong Ale,83.0,7.1,CO
834,7.1%,"Denver, CO",Black Shirt Brewing Company,45,1849,American Red Porter,12 oz.,American Porter,45.0,7.1,CO
835,7.8%,"Denver, CO",Black Shirt Brewing Company,34,1848,American Red Saison,12 oz.,Saison / Farmhouse Ale,34.0,7.8,CO
836,6.6%,"Denver, CO",Black Shirt Brewing Company,44,1847,Colorado Red Ale,12 oz.,American Amber / Red Ale,44.0,6.6,CO
837,4.0%,"Westminster, MA",Wachusett Brewing Company,37,1846,Wachusett Light IPA,12 oz.,American IPA,37.0,4.0,MA
838,6.0%,"Westminster, MA",Wachusett Brewing Company,55,1845,Green Monsta IPA,12 oz.,American IPA,55.0,6.0,MA
839,5.6%,"Westminster, MA",Wachusett Brewing Company,50,1844,Wachusett IPA,12 oz.,American IPA,50.0,5.6,MA
840,4.7%,"Westminster, MA",Wachusett Brewing Company,N/A,1843,Strawberry White,12 oz.,Witbier,16.44,4.7,MA
841,5.6%,"Lansdale, PA",Round Guys Brewing,40,1842,Original Slacker Ale,12 oz.,English Brown Ale,40.0,5.6,PA
842,7.2%,"Lansdale, PA",Round Guys Brewing,N/A,1841,Alpha Blackback,12 oz.,American Black Ale,68.9,7.2,PA
843,4.5%,"Ashland, VA",Center of the Universe Brewing C...,24,1839,Chin Music Amber Lager,12 oz.,American Amber / Red Lager,24.0,4.5,VA
844,4.9%,"Portland, OR",Widmer Brothers Brewing Company,30,1838,Hefe Lemon,12 oz.,Radler,30.0,4.9,OR
845,4.9%,"Portland, OR",Widmer Brothers Brewing Company,30,1837,Hefe Black,12 oz.,Hefeweizen,30.0,4.9,OR
846,4.9%,"Portland, OR",Widmer Brothers Brewing Company,30,1836,Widmer Brothers Hefeweizen,12 oz.,Hefeweizen,30.0,4.9,OR
847,4.2%,"Pittsburgh, PA",Hop Farm Brewing Company,25,1835,Provision,12 oz.,Saison / Farmhouse Ale,25.0,4.2,PA
848,4.7%,"Pittsburgh, PA",Hop Farm Brewing Company,28,1834,One Nut Brown,12 oz.,American Brown Ale,28.0,4.7,PA
